Symbol,Name,GICS Sector,Ret,Dividend Yield (Forward),PE Ratio (Forward),Price to Book Value,Market Cap (millions),Beta (3Y),Return on Equity (TTM)
A,Agilent Technologies,Health Care,-0.0064,0.0095,23.79755052,4.405710319,20323.35739,1.4876,0.051643
AAL,American Airlines Group,Industrials,-0.0174,0.0091,8.352560143,#N/A,20687.66336,1.32,0.666881
AAP,Advance Auto Parts,Consumer Discretionary,-0.0097,0.0019,19.15024061,2.712952421,9621.848078,0.9451,#N/A
AAPL,Apple,Information Technology,-0.0065,0.0153,16.80758046,7.488633702,950145.3267,1.1667,0.399307
ABBV,AbbVie,Health Care,0.0035,0.0392,12.71458799,44.17177386,156942.3825,1.632,1.211092
ABC,AmerisourceBergen,Health Care,-0.0151,0.0182,13.06431855,5.844841319,18630.5955,1.181,0.323661
ABMD,Abiomed,Health Care,-0.0077,#N/A,113.2526716,26.20192179,18066.88241,0.0133,0.190376
ABT,Abbott Laboratories,Health Care,-0.0094,0.0179,21.997,3.5188,110485.8952,1.6873,0.015131
ACN,Accenture,Information Technology,0.0002,0.0167,23.876991,11.11044566,107578.5303,1.0754,0.40912
ADBE,Adobe Systems,Information Technology,-0.0004,#N/A,39.17831806,14.42044005,124506.3412,0.793,0.231028
ADI,Analog Devices,Information Technology,-0.0286,0.0195,17.23150158,3.529128866,37356.7761,1.131,0.104402
ADM,Archer-Daniels Midland,Consumer Staples,-0.0074,0.0306,14.4659888,1.32037936,24732.71719,0.8637,0.092488
ADP,Automatic Data Processing,Information Technology,0.0066,0.0208,31.0994003,14.65603348,59052.01434,0.8857,0.444611
ADS,Alliance Data Systems,Information Technology,-0.0106,0.0109,9.566283524,5.980328404,11969.12679,1.8797,0.489221
ADSK,Autodesk,Information Technology,-0.0019,#N/A,150.8645861,#N/A,29976.28864,1.8075,-4.756544
AEE,Ameren,Utilities,-0.0008,0.0315,18.93569536,1.934691256,13988.16463,0.211,0.079486
AEP,American Electric Power,Utilities,-0.0018,0.0372,16.78886952,1.73948221,32151.9341,0.0521,0.098217
AES,AES,Utilities,-0.0131,0.0407,10.7519,2.6783,8551.8994,1.2788,-0.152464
AET,Aetna,Health Care,0.0038,0.0113,15.98318571,3.502836529,57438.76,0.664,0.226219
AFL,Aflac,Financials,-0.006,0.0229,11.44807088,1.449375017,35201.37808,0.7905,0.209795
AGN,Allergan,Health Care,-0.0003,0.0186,9.508967324,0.713575301,51612.26114,1.2197,-0.026529
AIG,American International Gr,Financials,0.0042,0.024,11.04485902,0.769514764,48322.29747,1.1254,-0.090902
AIV,Apartment Inv & Mgmt,Real Estate,-0.0076,0.037,63.07996213,4.208731964,6503.283738,0.76,0.267945
AIZ,Assurant,Financials,0.0031,0.0238,12.75121872,1.107239433,4968.1401,0.3713,0.11321
AJG,Arthur J. Gallagher,Financials,-0.0069,0.0248,19.1254206,2.681277524,12104.74992,1.1682,0.168281
AKAM,Akamai Technologies,Information Technology,-0.0284,#N/A,24.14452153,3.98175905,13483.20628,-0.0561,0.057857
ALB,Albemarle,Materials,-0.0224,0.0142,18.01401716,2.75876628,10484.29069,1.6558,0.036063
ALGN,Align Technology,Health Care,-0.0064,#N/A,72.81725739,24.60802219,27744.58552,1.8228,0.230939
ALK,Alaska Air Group,Industrials,-0.0082,0.021,11.76111129,2.194912132,7548.368896,0.5174,0.277335
ALL,Allstate,Financials,-0.0085,0.0196,10.30500535,1.570115172,32930.98567,0.9033,0.171192
ALLE,Allegion,Industrials,-0.0092,0.0108,17.80597186,16.48670772,7517.93569,1.1349,0.844045
ALXN,Alexion Pharmaceuticals,Health Care,-0.0105,#N/A,17.0147734,2.913124278,26546.55847,1.039,0.058459
AMAT,Applied Materials,Information Technology,-0.021,0.0096,11.43725783,7.575383133,53345.88961,1.3317,0.37908
AMD,Advanced Micro Devices,Information Technology,-0.0021,#N/A,32.66884222,20.10538552,14375.37152,3.3846,0.368638
AME,AMETEK,Industrials,-0.0102,0.0075,24.12490942,4.162969058,17502.74084,0.9584,0.19055
AMG,Affiliated Managers Group,Financials,-0.02,0.0074,9.925391669,2.412019097,8869.112651,1.6719,0.196597
AMGN,Amgen,Health Care,0.0023,0.0288,13.29771484,7.693028041,120165.8096,1.7047,0.081913
AMP,Ameriprise Financial,Financials,-0.0182,0.0257,9.594134326,3.458351903,20196.62361,1.9357,0.272861
AMT,American Tower,Real Estate,-0.0092,0.0222,41.70083534,9.687457636,61362.01821,0.8578,0.186257
AMZN,Amazon.com,Consumer Discretionary,-0.0064,#N/A,136.9678864,26.14065396,822464.4478,1.6857,0.153009
ANDV,Andeavor,Energy,0.0021,0.0158,16.09800256,2.304259514,22194.60594,0.9497,0.192236
ANSS,Ansys,Information Technology,-0.0028,#N/A,34.63100362,5.933307532,14283.71315,1.0662,0.123542
ANTM,Anthem,Health Care,-0.0042,0.0135,14.80472904,2.152752975,58149.71247,1.0118,0.157038
AON,Aon,Financials,-0.0085,0.0114,17.43636538,6.491318072,34410.24408,0.794,0.290684
AOS,A.O. Smith,Industrials,-0.0115,0.0113,24.22700037,6.308133594,10776.818,1.4874,0.187488
APA,Apache,Energy,0.0203,0.0257,21.24658617,1.973386728,14804.65761,1.6113,0.175503
APC,Anadarko Petroleum,Energy,0.0115,0.0141,24.32365199,4.079617868,35659.56299,1.8881,-0.001587
APD,Air Products & Chemicals,Materials,-0.0163,0.0269,22.41009527,3.41483806,36131.88955,0.9855,0.115053
APH,Amphenol,Information Technology,-0.006,0.0104,25.45925031,6.927651039,27114.15019,0.9299,0.176777
APTV,Aptiv,Consumer Discretionary,-0.0226,0.0089,18.57865195,7.642911855,26498.09153,1.6578,0.429644
ARE,Alexandria Real Estate,Real Estate,-0.01,0.0287,48.58407896,2.131077156,13042.74624,1.2046,0.04819
ARNC,Arconic,Industrials,0.0019,0.0135,14.24701984,1.641247576,8555.784858,#N/A,-0.046741
ATVI,Activision Blizzard,Information Technology,0.0016,0.0047,28.04199298,5.64134954,55392.8733,0.8004,0.035745
AVB,AvalonBay Communities,Real Estate,-0.0094,0.0352,38.32789084,2.232719527,23075.34125,0.5259,0.075833
AVGO,Broadcom,Information Technology,-0.0201,0.0273,13.35950753,4.113258652,106536.7462,0.6747,0.367798
AVY,Avery Dennison,Materials,-0.0115,0.0196,17.90085555,8.657720088,9434.271511,1.4279,0.275246
AWK,American Water Works Co,Utilities,-0.0066,0.0222,24.4525699,2.628384395,14327.51456,0.018,0.081221
AXP,American Express,Financials,-0.0137,0.0142,13.7218721,4.35601991,85433.96647,0.9516,0.155045
AYI,Acuity Brands,#N/A,0.0036,0.0044,13.86023953,2.986126172,4884.668486,1.3294,0.203824
AZO,AutoZone,Consumer Discretionary,-0.0125,#N/A,13.15093861,#N/A,17415.88502,0.8043,-0.853685
BA,Boeing,Industrials,-0.013,0.0192,24.55749186,171.7708002,209903.9343,1.7147,63.959778
BAC,Bank of America,Financials,-0.0079,0.0163,11.39993044,1.223605952,295562.1808,1.5958,0.082818
BAX,Baxter International,Health Care,-0.0088,0.0105,25.65851418,4.367977035,39743.76352,1.0672,0.091548
BBT,BB&T,Financials,0.0004,0.0282,13.24348676,1.565392465,41576.37133,1.1211,0.102951
BBY,Best Buy Co,Consumer Discretionary,-0.0086,0.0261,14.37619055,5.601368036,20232.27161,0.129,0.234533
BDX,"Becton, Dickinson and Co",Health Care,-0.0243,0.0133,20.67993463,2.878535935,60881.93014,1.1148,0.003097
BEN,Franklin Resources,Financials,-0.0071,0.027,10.59360411,1.813703397,18242.83434,1.4563,0.058928
BF.B,Brown-Forman,Consumer Staples,-0.0629,0.0114,30.58887484,27.9484135,33566.07173,0.6809,0.551158
BHF,Brighthouse Financial,Financials,0.0023,#N/A,5.403535893,0.411643826,5601.787928,#N/A,#N/A
BHGE,"Baker Hughes, a GE",Energy,-0.0112,0.0206,40.82374288,2.623617998,37392.50255,0.4801,-0.000203
BIIB,Biogen,Health Care,-0.0243,#N/A,12.54642012,4.480793015,62971.08761,1.1902,0.236806
BK,Bank of New York Mellon,Financials,-0.023,0.0173,13.12995446,1.471600502,56193.59675,1.0582,0.118327
BKNG,Booking Holdings,Consumer Discretionary,-0.0106,#N/A,24.29163121,9.705342705,103229.8718,0.9352,0.21796
BLK,BlackRock,Financials,-0.0225,0.0214,19.06483354,2.676544652,85589.88259,1.648,0.170331
BLL,Ball,Materials,-0.0037,0.0109,15.88811523,3.174177615,12801.3922,0.4805,0.115081
BMY,Bristol-Myers Squibb,Health Care,-0.0028,0.0301,15.24197629,6.633751293,84865.23889,1.0661,0.067147
BRK.B,Berkshire Hathaway,Financials,-0.0118,#N/A,21.04677439,1.355603659,470939.9141,0.8639,0.124389
BSX,Boston Scientific,Health Care,-0.0089,#N/A,22.11631833,6.027590196,42373.98045,0.9826,0.015591
BWA,BorgWarner,Consumer Discretionary,-0.0236,0.0136,11.41420342,2.709898014,10597.53474,1.9245,0.128813
BXP,Boston Properties,Real Estate,-0.0029,0.0263,49.08808165,3.319115222,18849.38806,0.9573,0.09631
C,Citigroup,Financials,-0.0239,0.019,10.32067605,0.931367686,170208.0611,1.4749,-0.031584
CA,CA,Information Technology,0.0005,0.0283,12.98858488,2.553420194,15052.37942,0.6217,0.081756
CAG,Conagra Brands,Consumer Staples,-0.0035,0.023,16.20016349,3.952687946,14705.82748,0.3308,0.229123
CAH,Cardinal Health,Health Care,-0.0196,0.0362,10.71418991,2.176907656,16407.27485,1.1074,0.240586
CAT,Caterpillar,Industrials,-0.0188,0.0203,14.28847003,6.014888708,91462.40141,1.5021,0.15438
CB,Chubb,Financials,-0.0087,0.0223,12.50672864,1.189361474,60996.78496,0.8685,0.076237
CBOE,Cboe Global Markets,Financials,0.0042,0.011,21.42137054,3.518330417,11171.40175,0.6721,0.17123
CBRE,CBRE Group,Real Estate,-0.0204,#N/A,15.20920009,3.709519021,16164.81493,2.1604,0.188164
CBS,CBS,Consumer Discretionary,-0.0196,0.0144,9.554024666,9.599934344,19036.58731,1.326,0.449186
CCI,Crown Castle Intl,Real Estate,-0.0097,0.0405,84.18391742,3.338086832,42834.61267,0.3475,0.041613
CCL,Carnival,Consumer Discretionary,0.0044,0.0317,13.70765178,1.779320493,43382.28919,1.0491,0.111703
CDNS,Cadence Design Systems,Information Technology,-0.0029,#N/A,26.98898936,10.78223316,12316.47312,1.2735,0.211492
CELG,Celgene,Health Care,-0.0077,#N/A,9.152545455,10.92990434,56529.26551,1.2502,0.369952
CERN,Cerner,Health Care,-0.0167,#N/A,24.20805163,4.089034695,20038.25949,1.0348,0.187903
CF,CF Industries Holdings,Materials,-0.0096,0.0297,41.34203796,2.684195908,9647.089968,1.3157,0.131446
CFG,Citizens Financial Group,Financials,-0.0079,0.0211,12.09728466,1.015368647,20116.15389,1.4518,0.086769
CHD,Church & Dwight Co,Consumer Staples,0.0031,0.0184,20.57437566,5.337515422,11439.82315,0.1357,0.3811
CHRW,C.H. Robinson Worldwide,Industrials,0.0016,0.021,20.08726819,8.23700814,12229.32628,0.4525,0.379504
CHTR,Charter Communications,Consumer Discretionary,-0.0089,#N/A,67.61855681,1.627251056,63086.90145,1.3334,0.264313
CI,Cigna,Health Care,-0.0115,0.0002,12.93781446,2.928443509,41569.67002,0.5457,0.180248
CINF,Cincinnati Financial,Financials,-0.0081,0.0302,22.7225207,1.447281606,11500.06872,0.7472,0.106022
CL,Colgate-Palmolive,Consumer Staples,-0.0076,0.0268,19.73283703,#N/A,54345.57961,0.5816,-10.740741
CLX,Clorox,Consumer Staples,unch,0.0319,19.83197614,18.77946206,15718.38592,0.3469,1.287081
CMA,Comerica,Financials,-0.0079,0.0142,14.05295462,2.056083161,16448.85877,1.4597,0.102977
CMCSA,Comcast,Consumer Discretionary,-0.0116,0.0243,12.45868706,2.062365676,143295.0696,1.2706,0.383195
CME,CME Group,Financials,0.0058,0.0167,25.18813604,2.548194292,58030.19134,0.5985,0.198474
CMG,Chipotle Mexican Grill,Consumer Discretionary,-0.0045,#N/A,52.62998914,9.237377802,12600.13787,0.4511,0.135927
CMI,Cummins,Industrials,-0.0122,0.0301,10.49090408,3.154832235,23326.89948,0.8924,0.125609
CMS,CMS Energy,Utilities,-0.0017,0.0317,18.90811052,2.715863653,12482.0164,0.0495,0.112099
CNC,Centene,Health Care,0.0001,#N/A,16.7668275,3.228640934,24224.43502,1.012,0.153853
CNP,CenterPoint Energy,Utilities,-0.0025,0.0433,16.11667872,2.279909169,11073.76227,0.6619,0.435523
COF,Capital One Financial,Financials,-0.0156,0.0169,9.355521123,0.932823345,45899.92167,1.1918,0.051332
COG,Cabot Oil & Gas,Energy,0.0042,0.0104,20.48612045,4.234413497,10190.07964,0.4555,0.043292
COL,Rockwell Collins,Industrials,-0.0058,0.0095,19.22404491,3.411672018,22629.32055,0.7104,0.168153
COO,The Cooper Companies,Health Care,-0.0139,0.0003,19.05867562,3.491347291,11019.72283,0.9976,0.057494
COP,ConocoPhillips,Energy,0.0026,0.0167,17.18212984,2.587876348,79049.67249,1.32,-0.017579
COST,Costco Wholesale,Consumer Staples,0.0095,0.0116,28.84218737,7.145926614,86773.01964,1.0552,0.270435
COTY,Coty,Consumer Staples,-0.029,0.0381,19.19326965,1.042118195,9899.586994,-0.3329,-0.030895
CPB,Campbell Soup,Consumer Staples,-0.022,0.0421,11.64651349,5.161203897,10023.13752,-0.013,0.641822
CRM,Salesforce.com,Information Technology,0.0038,#N/A,58.14864015,9.008269295,99631.67355,1.2114,0.052633
CSCO,Cisco Systems,Information Technology,-0.0021,0.0302,16.87538782,4.403486829,205468.9365,1.2278,-0.021457
CSX,CSX,Industrials,unch,0.0134,19.79195904,3.939008811,56635.37143,1.2164,0.459083
CTAS,Cintas,Industrials,0.003,0.0088,26.87751911,6.998791987,20254.55958,0.9498,0.296403
CTL,CenturyLink,Telecommunication Services,-0.0019,0.1218,16.95413333,0.802135714,18804.29098,0.6461,0.077707
CTSH,Cognizant Tech Solns,Information Technology,0.0196,0.0104,17.17852793,4.107368881,45131.79231,0.7618,0.13813
CTXS,Citrix Systems,Information Technology,-0.0092,#N/A,20.55685294,28.16267424,14739.74246,1.3755,0.067294
CVS,CVS Health,Consumer Staples,0.0023,0.0312,9.053621232,1.664857769,64384.21015,0.8403,0.186043
CVX,Chevron,Energy,0.007,0.0362,15.68942004,1.559937154,234541.6756,1.1737,0.068775
CXO,Concho Resources,Energy,0.0066,#N/A,29.19054968,1.934612914,18839.69411,1.2322,0.128073
D,Dominion Energy,Utilities,0.0214,0.0527,15.39328708,2.306004278,40791.01925,0.2946,0.177158
DAL,Delta Air Lines,Industrials,-0.0048,0.0224,8.922982279,3.056731292,38383.40889,0.9949,0.263185
DE,Deere,Industrials,-0.0114,0.018,16.21042666,4.81332757,50108.45641,0.9203,0.200683
DFS,Discover Financial,Financials,-0.0199,0.0189,9.619902775,2.521549413,25991.81439,1.3686,0.20895
DG,Dollar General,Consumer Discretionary,-0.0152,0.013,15.54042446,4.040632484,25198.56535,0.7223,0.276978
DGX,Quest Diagnostics,Health Care,-0.0063,0.0185,16.15219445,2.8813689,14493.05345,1.2623,0.163053
DHI,D.R. Horton,Consumer Discretionary,0.0012,0.0118,10.81123307,1.933357092,15851.43005,0.9253,0.148452
DHR,Danaher,Health Care,-0.0018,0.0064,22.88357632,2.622695435,71310.30117,0.9836,0.10026
DIS,Walt Disney,Consumer Discretionary,-0.0136,0.0169,14.07406425,3.292924232,148679.6992,1.1541,0.265493
DISCA,Discovery,Consumer Discretionary,-0.013,#N/A,8.163314367,1.439583926,11356.60368,1.4705,-0.096233
DISCK,Discovery,Consumer Discretionary,-0.0042,#N/A,7.806672008,1.366705308,10782.24674,1.3219,-0.096233
DISH,DISH Network,Consumer Discretionary,-0.0058,#N/A,11.20838154,1.877184499,13750.32254,0.9086,0.345996
DLR,Digital Realty Trust,Real Estate,-0.0388,0.0372,70.3311572,2.477320127,22306.74776,0.4941,0.038216
DLTR,Dollar Tree Stores,Consumer Discretionary,-0.0071,#N/A,14.98649509,2.681021968,19721.10829,0.6629,0.260602
DOV,Dover,Industrials,-0.0029,0.0241,16.29198045,2.724647931,12112.81848,1.1576,0.182404
DPS,Dr Pepper Snapple Group,#N/A,-0.0106,0.0193,23.48177377,8.710250312,21653.58922,0.8381,0.463466
DRE,Duke Realty,Real Estate,-0.0059,0.0281,69.27618384,2.252386403,10211.06088,0.7963,0.374505
DRI,Darden Restaurants,Consumer Discretionary,0.0005,0.0285,16.47449482,5.199971309,11049.45081,0.0581,0.266411
DTE,DTE Energy,Utilities,-0.0034,0.0349,17.14961767,1.82215122,18017.65207,0.1456,0.116353
DUK,Duke Energy,Utilities,0.001,0.0468,15.79843152,1.253632851,52393.2856,0.0922,0.071355
DVA,DaVita,Health Care,-0.0118,#N/A,16.32095739,2.567947228,11763.045,1.4391,0.081263
DVN,Devon Energy,Energy,0.0183,0.0077,25.30982133,2.311630806,20585.322,2.903,0.017592
DWDP,DowDuPont,Materials,-0.0185,0.023,16.33569269,1.552810219,157233.299,1.5643,0.023277
DXC,DXC Technology,Information Technology,-0.0132,0.0091,10.39444522,1.772931593,23911.16154,#N/A,0.167217
EA,Electronic Arts,Information Technology,0.0274,#N/A,27.34552908,9.143580573,42014.62898,1.057,0.241268
EBAY,eBay,Information Technology,-0.0018,#N/A,17.52308969,5.235503583,39769.05982,1.4947,-0.164364
ECL,Ecolab,Materials,-0.0066,0.0114,26.86608291,5.490324248,41731.60509,0.8707,0.207653
ED,Consolidated Edison,Utilities,-0.0035,0.0379,17.36159067,1.469140467,22997.16433,-0.0199,0.104108
EFX,Equifax,Industrials,-0.0003,0.0136,19.78086161,4.31818344,14140.63409,0.9698,0.169776
EIX,Edison International,Utilities,-0.0117,0.0398,14.93041318,1.68813576,19744.15873,-0.0534,0.035095
EL,The Estee Lauder,Consumer Staples,0.0042,0.0102,33.31972094,11.58691917,54586.02518,0.3293,0.255664
EMN,Eastman Chemical,Materials,-0.0184,0.0212,12.42888847,2.735959838,15170.66928,0.9814,0.274436
EMR,Emerson Electric,Industrials,-0.0026,0.0272,22.62373293,5.391969697,45788.64762,1.2164,0.215622
EOG,EOG Resources,Energy,0.0038,0.0063,23.26114486,4.007848656,67495.22761,1.1971,0.213196
EQIX,Equinix,Real Estate,-0.0174,0.0228,91.51880574,4.406195827,31462.90503,0.6548,0.037799
EQR,Equity Residential,Real Estate,-0.0139,0.0338,46.62411819,2.299408946,23573.04112,0.5853,0.06561
EQT,EQT,Energy,-0.0028,0.0023,22.16282256,1.150211755,13476.36884,0.4968,-0.027943
ES,Eversource Energy,Utilities,0.0034,0.0362,16.90075676,1.558432432,17428.719,0.2747,0.090805
